full_text,cleaned-texts,stemmed-texts,tokenized-texts,pre-process,sentiment_score,sentiment
@praditdita @adith_wp @petitestardust G dulu = Gibran dulu? Ciyeeee,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,,praditdita adith wp petitestardust g dulu gibran dulu ciyeeee,-9.0,Negatif
Kalkulasi Politik Andai Anies Rasyid Baswedan jadi Oposisi atau Masuk Pemerintahan. Jangan pula kt bilang bhw Partai NasDem PKB dan PKS telah berkhianat krn ada kadernya menjadi menterinya Prabowo-Gibran. https://t.co/YUOrhqAdOr @Mayapada0812 @m1n4_95 @DoankWarto @mulanbilqis https://t.co/CX11s94h4W,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk pemerintahan jangan pula kt bilang bhw partai nasdem pkb dan pks telah berkhianat krn ada kadernya menjadi menterinya prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk perintah jangan pula kt bilang bhw partai nasdem pkb dan pks telah khianat krn ada kader jadi menteri prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,,kalkulasi politik andai anies rasyid baswedan jadi oposisi atau masuk perintah jangan pula kt bilang bhw partai nasdem pkb dan pks telah khianat krn ada kader jadi menteri prabowo gibran t co yuorhqador mayapada0812 m1n4 95 doankwarto mulanbilqis t co cx11s94h4w,1.0,Positif
Dengan IDM dapat membantu arah fokus arah pembangunan di desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/3BCAPNfYNo,dengan idm dapat membantu arah fokus arah pembangunan di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,dengan idm dapat bantu arah fokus arah bangun di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,,dengan idm dapat bantu arah fokus arah bangun di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co 3bcapnfyno,6.0,Positif
@geloraco Prabowo gibran gak bakal nyampe 2 tahun..,geloraco prabowo gibran gak bakal nyampe 2 tahun,geloraco prabowo gibran gak bakal nyampe 2 tahun,,geloraco prabowo gibran gak bakal nyampe 2 tahun,-1.0,Negatif
Mari Sukseskan Pemutakhiran Indeks Desa membangun (IDM) 20244 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/t0KkyyPbhY,mari sukseskan pemutakhiran indeks desa membangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,mari sukses mutakhir indeks desa bangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,,mari sukses mutakhir indeks desa bangun idm 20244 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co t0000kyypbhy,11.0,Positif
AHY ajak warga Semarang menangkan Prabowo-Gibran agar Indonesia semakin maju. unv PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/SQwUKa2GKn,ahy ajak warga semarang menangkan prabowo gibran agar indonesia semakin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,ahy ajak warga semarang menang prabowo gibran agar indonesia makin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,,ahy ajak warga semarang menang prabowo gibran agar indonesia makin maju unv pdemokrat agusyudhoyono demokrat demi rakyat t co sqwuka2gkn,19.0,Positif
@BiLLRaY2019 Pernyataan dari Prabowo (Presiden) sedang pertanyaanya tertuju pafa Gibran (wakil Presoden) sampeyan putrane sinten (bopo) Lolos syarat nyawapres berkat paringane sinten ( si om ) Ini gimana pososi pernyataan PS thd pertanyaan kpd GRR,billray2019 pernyataan dari prabowo presiden sedang pertanyaanya tertuju pafa gibran wakil presoden sampeyan putrane sinten bopo lolos syarat nyawapres berkat paringane sinten si om ini gimana pososi pernyataan ps thd pertanyaan kpd grr,billray2019 nyata dari prabowo presiden sedang pertanyaanya tuju pafa gibran wakil presoden sampeyan putrane sinten bopo lolos syarat nyawapres berkat paringane sinten si om ini gimana pososi nyata ps thd tanya kpd grr,,billray2019 nyata dari prabowo presiden sedang pertanyaanya tuju pafa gibran wakil presoden sampeyan putrane sinten bopo lolos syarat nyawapres berkat paringane sinten si om ini gimana pososi nyata ps thd tanya kpd grr,10.0,Positif
@aniesbaswedan @VivianBala 1000 pengacara ngga ada yg mampu buktiin nepotisme yang dituduhkan ke gibran waduh...1000 pengacara sampah semua.,aniesbaswedan vivianbala 1000 pengacara ngga ada yg mampu buktiin nepotisme yang dituduhkan ke gibran waduh 1000 pengacara sampah semua,aniesbaswedan vivianbala 1000 acara ngga ada yg mampu buktiin nepotisme yang tuduh ke gibran waduh 1000 acara sampah semua,,aniesbaswedan vivianbala 1000 acara ngga ada yg mampu buktiin nepotisme yang tuduh ke gibran waduh 1000 acara sampah semua,-11.0,Negatif
@msobri99 Separah parahnya netizen lebih parah lagi yang ini bahkan juga MK berarti Jokowi gak punya anak laki dengan nama Gibran jadi mikir gw lantas dia anak siapa ,msobri99 separah parahnya netizen lebih parah lagi yang ini bahkan juga mk berarti jokowi gak punya anak laki dengan nama gibran jadi mikir gw lantas dia anak siapa,msobri99 parah parah netizen lebih parah lagi yang ini bahkan juga mk arti jokowi gak punya anak laki dengan nama gibran jadi mikir gw lantas dia anak siapa,,msobri99 parah parah netizen lebih parah lagi yang ini bahkan juga mk arti jokowi gak punya anak laki dengan nama gibran jadi mikir gw lantas dia anak siapa,-18.0,Negatif
AHY diskusi masalah bangsa dengan Gibran: Tantangan global makin kompleks. gxp AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/AX3jO4ZFkq,ahy diskusi masalah bangsa dengan gibran tantangan global makin kompleks gxp agusyudhoyono pdemokrat demokrat demi rakyat t co ax3jo4zfkq,ahy diskusi masalah bangsa dengan gibran tantang global makin kompleks gxp agusyudhoyono pdemokrat demokrat demi rakyat t co ax3jo4zfkq,,ahy diskusi masalah bangsa dengan gibran tantang global makin kompleks gxp agusyudhoyono pdemokrat demokrat demi rakyat t co ax3jo4zfkq,1.0,Positif
@MafiaWasit Gibran vs haritanoe menang spo mbah,mafiawasit gibran vs haritanoe menang spo mbah,mafiawasit gibran vs haritanoe menang spo mbah,,mafiawasit gibran vs haritanoe menang spo mbah,6.0,Positif
@Dennysiregar7 Dengarkan tuh...@kaesangp ga usah ikut2 @gibran_tweet dia mah anak presiden,dennysiregar7 dengarkan tuh kaesangp ga usah ikut2 gibran tweet dia mah anak presiden,dennysiregar7 dengar tuh kaesangp ga usah ikut2 gibran tweet dia mah anak presiden,,dennysiregar7 dengar tuh kaesangp ga usah ikut2 gibran tweet dia mah anak presiden,-5.0,Negatif
SBY dan AHY kompak ajak masyarakat Banyuwangi pilih Prabowo-Gibran. qx] AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/G9CE3I1MNk,sby dan ahy kompak ajak masyarakat banyuwangi pilih prabowo gibran qx agusyudhoyono pdemokrat demokrat demi rakyat t co g9ce3i1mnk,sby dan ahy kompak ajak masyarakat banyuwangi pilih prabowo gibran qx agusyudhoyono pdemokrat demokrat demi rakyat t co g9ce3i1mnk,,sby dan ahy kompak ajak masyarakat banyuwangi pilih prabowo gibran qx agusyudhoyono pdemokrat demokrat demi rakyat t co g9ce3i1mnk,10.0,Positif
Terlihat dengan setia pak SBY presiden ke 6 Indonesia di atas panggung bersama dengan mas AHY juga mendukung Prabowo Gibran.. mwi PDemokrat AgusYudhoyono Demokrat Demi rakyat https://t.co/cIt208yYEH,terlihat dengan setia pak sby presiden ke 6 indonesia di atas panggung bersama dengan mas ahy juga mendukung prabowo gibran mwi pdemokrat agusyudhoyono demokrat demi rakyat t co cit208yyeh,lihat dengan setia pak sby presiden ke 6 indonesia di atas panggung sama dengan mas ahy juga dukung prabowo gibran mwi pdemokrat agusyudhoyono demokrat demi rakyat t co cit208yyeh,,lihat dengan setia pak sby presiden ke 6 indonesia di atas panggung sama dengan mas ahy juga dukung prabowo gibran mwi pdemokrat agusyudhoyono demokrat demi rakyat t co cit208yyeh,29.0,Positif
Kegiatan pendataan IDM Kementerian Desa PDT dilaksanakan oleh TPP berkolaborasi dgn stakeholder di Desa. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/XQfjYyZRKl,kegiatan pendataan idm kementerian desa pdt dilaksanakan oleh tpp berkolaborasi dgn stakeholder di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co xqfjyyzrkl,giat data idm menteri desa pdt laksana oleh tpp kolaborasi dgn stakeholder di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co xqfjyyzrkl,,giat data idm menteri desa pdt laksana oleh tpp kolaborasi dgn stakeholder di desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co xqfjyyzrkl,10.0,Positif
Bapak SBY dan Mas AHY pun duduk diatas panggung ikut serta mendukung Prabowo Gibran. qfx AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/RdgbsRtlEt,bapak sby dan mas ahy pun duduk diatas panggung ikut serta mendukung prabowo gibran qfx agusyudhoyono pdemokrat demokrat demi rakyat t co rdgbsrtlet,bapak sby dan mas ahy pun duduk atas panggung ikut serta dukung prabowo gibran qfx agusyudhoyono pdemokrat demokrat demi rakyat t co rdgbsrtlet,,bapak sby dan mas ahy pun duduk atas panggung ikut serta dukung prabowo gibran qfx agusyudhoyono pdemokrat demokrat demi rakyat t co rdgbsrtlet,9.0,Positif
Pendataan IDM Kemendesa PDTT rutin dilaksanakan oleh TPP berkolaborasi dgn stakeholder terkait di Desa-desa terbukti mendapat apresiasi dari berbagai pihak #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71,pendataan idm kemendesa pdtt rutin dilaksanakan oleh tpp berkolaborasi dgn stakeholder terkait di desa desa terbukti mendapat apresiasi dari berbagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71,data idm desa pdtt rutin laksana oleh tpp kolaborasi dgn stakeholder kait di desa desa bukti dapat apresiasi dari bagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71,,data idm desa pdtt rutin laksana oleh tpp kolaborasi dgn stakeholder kait di desa desa bukti dapat apresiasi dari bagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71,11.0,Positif
@ARSIPAJA next Gibran tunjuk Jokowi,arsipaja next gibran tunjuk jokowi,arsipaja next gibran tunjuk jokowi,,arsipaja next gibran tunjuk jokowi,0.0,Netral
Menutup masa kampanye @PDemokrat hadir all out di GBK untuk merapatkan barisan menangkan Prabowo-Gibran.. vmi AgusYudhoyono PDemokrat Demokrat Demi rakyat https://t.co/UEqxcEg9Lw,menutup masa kampanye pdemokrat hadir all out di gbk untuk merapatkan barisan menangkan prabowo gibran vmi agusyudhoyono pdemokrat demokrat demi rakyat t co ueqxceg9lw,tutup masa kampanye pdemokrat hadir all out di gbk untuk rapat baris menang prabowo gibran vmi agusyudhoyono pdemokrat demokrat demi rakyat t co ueqxceg9lw,,tutup masa kampanye pdemokrat hadir all out di gbk untuk rapat baris menang prabowo gibran vmi agusyudhoyono pdemokrat demokrat demi rakyat t co ueqxceg9lw,8.0,Positif
@yusufagro @gustavssondhela @prabowo @gibran_tweet @BANGSAygSUJUD @Chavesz08 @AditBandit234 @Gerindra @Kenikir27 @AnisHectorium @AlmaghribiS @askencana @Papa_Brewook Iya negara punya nenek loe kami mah cuma ngontrak ...,yusufagro gustavssondhela prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 gerindra kenikir27 anishectorium almaghribis askencana papa brewook iya negara punya nenek loe kami mah cuma ngontrak,yusufagro gustavssondhela prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 gerindra kenikir27 anishectorium almaghribis askencana papa brewook iya negara punya nenek loe kami mah cuma ngontrak,,yusufagro gustavssondhela prabowo gibran tweet bangsaygsujud chavesz08 aditbandit234 gerindra kenikir27 anishectorium almaghribis askencana papa brewook iya negara punya nenek loe kami mah cuma ngontrak,-1.0,Negatif
Di fotoin ayang Fotoin ayang https://t.co/ixOFC45hK8,di fotoin ayang fotoin ayang t co ixofc45hk8,di fotoin ayang fotoin ayang t co ixofc45hk8,,di fotoin ayang fotoin ayang t co ixofc45hk8,0.0,Netral
@Perokofk tidak,perokofk tidak,perokofk tidak,,perokofk tidak,-5.0,Negatif
Pemutakhiran Data IDM 2024 #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/pRGwCjP9DT,pemutakhiran data idm 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co prgwcjp9dt,mutakhir data idm 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co prgwcjp9dt,,mutakhir data idm 2024 idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co prgwcjp9dt,8.0,Positif
@MpokJule @PartaiSocmed @aven_januar @prabowo @gibran_tweet Sekjen Gerindra hadir ...,mpokjule partaisocmed aven januar prabowo gibran tweet sekjen gerindra hadir,mpokjule partaisocmed aven januar prabowo gibran tweet sekjen gerindra hadir,,mpokjule partaisocmed aven januar prabowo gibran tweet sekjen gerindra hadir,-2.0,Negatif
@tanyarlfes Cara terkenal emang hrus dihujat gtu. Nti bnyak penggemarnya. Lalu diajak dukung gibran.,tanyarlfes cara terkenal emang hrus dihujat gtu nti bnyak penggemarnya lalu diajak dukung gibran,tanyarlfes cara kenal emang hrus hujat gtu nti bnyak gemar lalu ajak dukung gibran,,tanyarlfes cara kenal emang hrus hujat gtu nti bnyak gemar lalu ajak dukung gibran,-3.0,Negatif
@justcegil lucu sekali,justcegil lucu sekali,justcegil lucu sekali,,justcegil lucu sekali,2.0,Positif
Desa Mandiri Naik Jadi 11.456 Desa Gus Menteri @halimiskandarnu : Ini Jadi Motivasi Daerah Lain Genjot Pembangunan Desa Klik baca : https://t.co/hyqhAvNcrY #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @taufikmadjid71 https://t.co/JtjhtjSMd5,desa mandiri naik jadi 11 456 desa gus menteri halimiskandarnu ini jadi motivasi daerah lain genjot pembangunan desa klik baca t co hyqhavncry idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu taufikmadjid71 t co jtjhtjsmd5,desa mandiri naik jadi 11 456 desa gus menteri halimiskandarnu ini jadi motivasi daerah lain genjot bangun desa klik baca t co hyqhavncry idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu taufikmadjid71 t co jtjhtjsmd5,,desa mandiri naik jadi 11 456 desa gus menteri halimiskandarnu ini jadi motivasi daerah lain genjot bangun desa klik baca t co hyqhavncry idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu taufikmadjid71 t co jtjhtjsmd5,9.0,Positif
@tppkemendes @halimiskandarnu @jokowi @prabowo @gibran_tweet @taufikmadjid71 @malik_haramain @imansyukri Mantap selalu sukses untuk indonesia maju,tppkemendes halimiskandarnu jokowi prabowo gibran tweet taufikmadjid71 malik haramain imansyukri mantap selalu sukses untuk indonesia maju,tppkemendes halimiskandarnu jokowi prabowo gibran tweet taufikmadjid71 malik haramain imansyukri mantap selalu sukses untuk indonesia maju,,tppkemendes halimiskandarnu jokowi prabowo gibran tweet taufikmadjid71 malik haramain imansyukri mantap selalu sukses untuk indonesia maju,18.0,Positif
@okyanggriawan_ @tvOneNews Jng suruh2 orang yg bebal dg aturan. Aturan MK aja berani dikotak katik dah songong culas tak punya malu pula. Semoga tdk ada keberkahan hidup si Gibran.,okyanggriawan tvonenews jng suruh2 orang yg bebal dg aturan aturan mk aja berani dikotak katik dah songong culas tak punya malu pula semoga tdk ada keberkahan hidup si gibran,okyanggriawan tvonenews jng suruh2 orang yg bebal dg atur atur mk aja berani kotak katik dah songong culas tak punya malu pula moga tdk ada berkah hidup si gibran,,okyanggriawan tvonenews jng suruh2 orang yg bebal dg atur atur mk aja berani kotak katik dah songong culas tak punya malu pula moga tdk ada berkah hidup si gibran,-25.0,Negatif
@StefanAntonio__ @PDI_Perjuangan @ganjarpranowo Klw PDIP menerima pinangan om wowo itu artinya apa yg sudah mereka teriakkan selama ini brarti kosong melompong wlwpun pake syarat tanpa gibran 'kan ga mung'in ,stefanantonio pdi perjuangan ganjarpranowo klw pdip menerima pinangan om wowo itu artinya apa yg sudah mereka teriakkan selama ini brarti kosong melompong wlwpun pake syarat tanpa gibran kan ga mung in,stefanantonio pdi juang ganjarpranowo klw pdip terima pinang om wowo itu arti apa yg sudah mereka teriak lama ini brarti kosong melompong wlwpun pake syarat tanpa gibran kan ga mung in,,stefanantonio pdi juang ganjarpranowo klw pdip terima pinang om wowo itu arti apa yg sudah mereka teriak lama ini brarti kosong melompong wlwpun pake syarat tanpa gibran kan ga mung in,-22.0,Negatif
@AREAJULID @prabowo @gibran_tweet kedepannya tugas panjenengan mungkin hal ini harus segera diurus rubah sistem masalah bea cukai di indonesia.,areajulid prabowo gibran tweet kedepannya tugas panjenengan mungkin hal ini harus segera diurus rubah sistem masalah bea cukai di indonesia,areajulid prabowo gibran tweet depan tugas panjenengan mungkin hal ini harus segera urus rubah sistem masalah bea cukai di indonesia,,areajulid prabowo gibran tweet depan tugas panjenengan mungkin hal ini harus segera urus rubah sistem masalah bea cukai di indonesia,-12.0,Negatif
PKB dan NasDem Gabung Koalisi Prabowo-Gibran Anies Bilang Begini https://t.co/CZP6wS1TbW #beritajogja #jogja #jogjaistimewa https://t.co/Ksp9LmLf4X,pkb dan nasdem gabung koalisi prabowo gibran anies bilang begini t co czp6ws1tbw beritajogja jogja jogjaistimewa t co ksp9lmlf4x,pkb dan nasdem gabung koalisi prabowo gibran anies bilang begini t co czp6ws1tbw beritajogja jogja jogjaistimewa t co ksp9lmlf4x,,pkb dan nasdem gabung koalisi prabowo gibran anies bilang begini t co czp6ws1tbw beritajogja jogja jogjaistimewa t co ksp9lmlf4x,1.0,Positif
@hidahidaan Tapi pensiunan projo mau buat relawan gibran ... bakal rame terus,hidahidaan tapi pensiunan projo mau buat relawan gibran bakal rame terus,hidahidaan tapi pensiun projo mau buat rawan gibran bakal rame terus,,hidahidaan tapi pensiun projo mau buat rawan gibran bakal rame terus,-6.0,Negatif
IDM sangat penting dalam proses pembangunan Desa #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @Kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @yusradaridesa @azzameldzikrie @tppkemendes https://t.co/GBiKIaBRLa https://t.co/dPJE8NXQuN,idm sangat penting dalam proses pembangunan desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gbikiabrla t co dpje8nxqun,idm sangat penting dalam proses bangun desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gbikiabrla t co dpje8nxqun,,idm sangat penting dalam proses bangun desa idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 yusradaridesa azzameldzikrie tppkemendes t co gbikiabrla t co dpje8nxqun,9.0,Positif
Pendataan IDM Kemendesa PDTT rutin dilaksanakan oleh TPP berkolaborasi dengan stakeholder terbukti mendapat apresiasi dari berbagai pihak. #IDMKemendesaBisa @jokowi @prabowo @gibran_tweet @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @azzameldzikrie https://t.co/ImFhgv6u8n,pendataan idm kemendesa pdtt rutin dilaksanakan oleh tpp berkolaborasi dengan stakeholder terbukti mendapat apresiasi dari berbagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 azzameldzikrie t co imfhgv6u8n,data idm desa pdtt rutin laksana oleh tpp kolaborasi dengan stakeholder bukti dapat apresiasi dari bagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 azzameldzikrie t co imfhgv6u8n,,data idm desa pdtt rutin laksana oleh tpp kolaborasi dengan stakeholder bukti dapat apresiasi dari bagai pihak idmkemendesabisa jokowi prabowo gibran tweet halimiskandarnu kemendespdtt malik haramain imansyukri taufikmadjid71 azzameldzikrie t co imfhgv6u8n,10.0,Positif
@gregoryalfared @SenderLabs Gak bisa satset,gregoryalfared senderlabs gak bisa satset,gregoryalfared senderlabs gak bisa satset,,gregoryalfared senderlabs gak bisa satset,-5.0,Negatif
Prabowo-Gibran Kemaruk Jabatan?.,prabowo gibran kemaruk jabatan,prabowo gibran kemaruk jabat,,prabowo gibran kemaruk jabat,-4.0,Negatif
@gibran_tweet benerin bisa kalii..,gibran tweet benerin bisa kalii,gibran tweet benerin bisa kali,,gibran tweet benerin bisa kali,-2.0,Negatif
@sukardiyahya162 @gibran_tweet @ganjarpranowo @mohmahfudmd Ente ente pler kwkwkkww,sukardiyahya162 gibran tweet ganjarpranowo mohmahfudmd ente ente pler kwkwkkww,sukardiyahya162 gibran tweet ganjarpranowo mohmahfudmd ente ente pler kwkwkkww,,sukardiyahya162 gibran tweet ganjarpranowo mohmahfudmd ente ente pler kwkwkkww,-8.0,Negatif
